No,Branch_Code,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,Mega_Evolution_Flag,Region_Form,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,E_HP,E_Attack,E_Defense,E_SP_Attack,E_SP_Defense,E_Speed
1,1_0,Bulbasaur,Bulbasaur,1,0.7,6.9,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,64,1059860,Ordinary,,,45,49,49,65,65,45,318,0,0,0,1,0,0
2,2_0,Ivysaur,Ivysaur,1,1,13,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,142,1059860,Ordinary,,,60,62,63,80,80,60,405,0,0,0,1,1,0
3,3_0,Venusaur,Venusaur,1,2,100,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,263,1059860,Ordinary,,,80,82,83,100,100,80,525,0,0,0,2,1,0
3,3_1,Venusaur,Mega Venusaur,1,2.4,155.5,Grass,Poison,Thick Fat,,,Green,87.5,12.5,0,20,Monster,Grass,45,281,1059860,Ordinary,Mega,,80,100,123,122,120,80,625,0,0,0,2,1,0
4,4_0,Charmander,Charmander,1,0.6,8.5,Fire,,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,62,1059860,Ordinary,,,39,52,43,60,50,65,309,0,0,0,0,0,1
5,5_0,Charmeleon,Charmeleon,1,1.1,19,Fire,,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,142,1059860,Ordinary,,,58,64,58,80,65,80,405,0,0,0,1,0,1
6,6_0,Charizard,Charizard,1,1.7,90.5,Fire,Flying,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,267,1059860,Ordinary,,,78,84,78,109,85,100,534,0,0,0,3,0,0
6,6_1,Charizard,Mega Charizard X,1,1.7,110.5,Fire,Dragon,Tough Claws,,,Black,87.5,12.5,0,20,Monster,Dragon,45,285,1059860,Ordinary,Mega,,78,130,111,130,85,100,634,0,0,0,3,0,0
6,6_2,Charizard,Mega Charizard Y,1,1.7,100.5,Fire,Flying,Drought,,,Red,87.5,12.5,0,20,Monster,Dragon,45,285,1059860,Ordinary,Mega,,78,104,78,159,115,100,634,0,0,0,3,0,0
7,7_0,Squirtle,Squirtle,1,0.5,9,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,63,1059860,Ordinary,,,44,48,65,50,64,43,314,0,0,1,0,0,0
8,8_0,Wartortle,Wartortle,1,1,22.5,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,142,1059860,Ordinary,,,59,63,80,65,80,58,405,0,0,1,0,1,0
9,9_0,Blastoise,Blastoise,1,1.6,85.5,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,265,1059860,Ordinary,,,79,83,100,85,105,78,530,0,0,0,0,3,0
9,9_1,Blastoise,Mega Blastoise,1,1.6,101.1,Water,,Mega Launcher,,,Blue,87.5,12.5,0,20,Monster,Water1,45,284,1059860,Ordinary,Mega,,79,103,120,135,115,78,630,0,0,0,0,3,0
10,10_0,Caterpie,Caterpie,1,0.3,2.9,Bug,,Shield Dust,,Run Away,Green,50,50,0,15,Bug,,255,39,1000000,Ordinary,,,45,30,35,20,20,45,195,1,0,0,0,0,0
11,11_0,Metapod,Metapod,1,0.7,9.9,Bug,,Shed Skin,,,Green,50,50,0,15,Bug,,120,72,1000000,Ordinary,,,50,20,55,25,25,30,205,0,0,2,0,0,0
12,12_0,Butterfree,Butterfree,1,1.1,32,Bug,Flying,Compound Eyes,,Tinted Lens,White,50,50,0,15,Bug,,45,198,1000000,Ordinary,,,60,45,50,90,80,70,395,0,0,0,2,1,0
13,13_0,Weedle,Weedle,1,0.3,3.2,Bug,Poison,Shield Dust,,Run Away,Brown,50,50,0,15,Bug,,255,39,1000000,Ordinary,,,40,35,30,20,20,50,195,0,0,0,0,0,1
14,14_0,Kakuna,Kakuna,1,0.6,10,Bug,Poison,Shed Skin,,,Yellow,50,50,0,15,Bug,,120,72,1000000,Ordinary,,,45,25,50,25,25,35,205,0,0,2,0,0,0
15,15_0,Beedrill,Beedrill,1,1,29.5,Bug,Poison,Swarm,,Sniper,Yellow,50,50,0,15,Bug,,45,198,1000000,Ordinary,,,65,90,40,45,80,75,395,0,2,0,0,1,0
15,15_1,Beedrill,Mega Beedrill,1,1.4,40.5,Bug,Poison,Adaptability,,,Yellow,50,50,0,15,Bug,,45,223,1000000,Ordinary,Mega,,65,150,40,15,80,145,495,0,2,0,0,1,0
16,16_0,Pidgey,Pidgey,1,0.3,1.8,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,255,50,1059860,Ordinary,,,40,45,40,35,35,56,251,0,0,0,0,0,1
17,17_0,Pidgeotto,Pidgeotto,1,1.1,30,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,120,122,1059860,Ordinary,,,63,60,55,50,50,71,349,0,0,0,0,0,2
18,18_0,Pidgeot,Pidgeot,1,1.5,39.5,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,45,240,1059860,Ordinary,,,83,80,75,70,70,101,479,0,0,0,0,0,3
18,18_1,Pidgeot,Mega Pidgeot,1,2.2,50.5,Normal,Flying,No Guard,,,Brown,50,50,0,15,Flying,,45,261,1059860,Ordinary,Mega,,83,80,80,135,80,121,579,0,0,0,0,0,3
19,19_0,Rattata,Rattata,1,0.3,3.5,Normal,,Run Away,Guts,Hustle,Purple,50,50,0,15,Ground,,255,51,1000000,Ordinary,,,30,56,35,25,35,72,253,0,0,0,0,0,1
19,19_1,Rattata,Alolan Rattata,7,0.3,3.8,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50,50,0,15,Ground,,255,51,1000000,Ordinary,,Alolan,30,56,35,25,35,72,253,0,0,0,0,0,1
20,20_0,Raticate,Raticate,1,0.7,18.5,Normal,,Run Away,Guts,Hustle,Brown,50,50,0,15,Ground,,127,145,1000000,Ordinary,,,55,81,60,50,70,97,413,0,0,0,0,0,2
20,20_1,Raticate,Alolan Raticate,7,0.7,25.5,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50,50,0,15,Ground,,127,145,1000000,Ordinary,,Alolan,75,71,70,40,80,77,413,0,0,0,0,0,2
21,21_0,Spearow,Spearow,1,0.3,2,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,255,52,1000000,Ordinary,,,40,60,30,31,31,70,262,0,0,0,0,0,1
22,22_0,Fearow,Fearow,1,1.2,38,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,90,155,1000000,Ordinary,,,65,90,65,61,61,100,442,0,0,0,0,0,2
23,23_0,Ekans,Ekans,1,2,6.9,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,255,58,1000000,Ordinary,,,35,60,44,40,54,55,288,0,1,0,0,0,0
24,24_0,Arbok,Arbok,1,3.5,65,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,90,157,1000000,Ordinary,,,60,95,69,65,79,80,448,0,2,0,0,0,0
25,25_0,Pikachu,Pikachu,1,0.4,6,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,190,112,1000000,Ordinary,,,35,55,40,50,50,90,320,0,0,0,0,0,2
26,26_0,Raichu,Raichu,1,0.8,30,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,75,243,1000000,Ordinary,,,60,90,55,90,80,110,485,0,0,0,0,0,3
26,26_1,Raichu,Alolan Raichu,7,0.7,21,Electric,Psychic,Surge Surfer,,,Brown,50,50,0,10,Ground,Fairy,75,243,1000000,Ordinary,,Alolan,60,85,50,95,85,110,485,0,0,0,0,0,3
27,27_0,Sandshrew,Sandshrew,1,0.6,12,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,255,60,1000000,Ordinary,,,50,75,85,20,30,40,300,0,0,1,0,0,0
27,27_1,Sandshrew,Alolan Sandshrew,7,0.7,40,Ice,Steel,Snow Cloak,,Slush Rush,White,50,50,0,20,Ground,,255,60,1000000,Ordinary,,Alolan,50,75,90,10,35,40,300,0,0,1,0,0,0
28,28_0,Sandslash,Sandslash,1,1,29.5,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,90,158,1000000,Ordinary,,,75,100,110,45,55,65,450,0,0,2,0,0,0
28,28_1,Sandslash,Alolan Sandslash,7,1.2,55,Ice,Steel,Snow Cloak,,Slush Rush,Blue,50,50,0,20,Ground,,90,158,1000000,Ordinary,,Alolan,75,100,120,25,65,65,450,0,0,2,0,0,0
29,29_0,Nidoran F,Nidoran F,1,0.4,7,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Monster,Ground,235,55,1059860,Ordinary,,,55,47,52,40,40,41,275,1,0,0,0,0,0
30,30_0,Nidorina,Nidorina,1,0.8,20,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Undiscovered,,120,128,1059860,Ordinary,,,70,62,67,55,55,56,365,2,0,0,0,0,0
31,31_0,Nidoqueen,Nidoqueen,1,1.3,60,Poison,Ground,Poison Point,Rivalry,Sheer Force,Blue,0,100,0,20,Undiscovered,,45,253,1059860,Ordinary,,,90,92,87,75,85,76,505,3,0,0,0,0,0
32,32_0,Nidoran M,Nidoran M,1,0.5,9,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,235,55,1059860,Ordinary,,,46,57,40,40,40,50,273,0,1,0,0,0,0
33,33_0,Nidorino,Nidorino,1,0.9,19.5,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,120,128,1059860,Ordinary,,,61,72,57,55,55,65,365,0,2,0,0,0,0
34,34_0,Nidoking,Nidoking,1,1.4,62,Poison,Ground,Poison Point,Rivalry,Sheer Force,Purple,100,0,0,20,Monster,Ground,45,253,1059860,Ordinary,,,81,102,77,85,75,85,505,0,3,0,0,0,0
35,35_0,Clefairy,Clefairy,1,0.6,7.5,Fairy,,Cute Charm,Magic Guard,Friend Guard,Pink,25,75,0,10,Fairy,,150,113,800000,Ordinary,,,70,45,48,60,65,35,323,2,0,0,0,0,0
36,36_0,Clefable,Clefable,1,1.3,40,Fairy,,Cute Charm,Magic Guard,Unaware,Pink,25,75,0,10,Fairy,,25,242,800000,Ordinary,,,95,70,73,95,90,60,483,3,0,0,0,0,0
37,37_0,Vulpix,Vulpix,1,0.6,9.9,Fire,,Flash Fire,,Drought,Brown,25,75,0,20,Ground,,190,60,1000000,Ordinary,,,38,41,40,50,65,65,299,0,0,0,0,0,1
37,37_1,Vulpix,Alolan Vulpix,7,0.6,9.9,Ice,,Snow Cloak,,Snow Warning,White,25,75,0,20,Ground,,190,60,1000000,Ordinary,,Alolan,38,41,40,50,65,65,299,0,0,0,0,0,1
38,38_0,Ninetales,Ninetales,1,1.1,19.9,Fire,,Flash Fire,,Drought,Yellow,25,75,0,20,Ground,,75,177,1000000,Ordinary,,,73,76,75,81,100,100,505,0,0,0,0,1,1
38,38_1,Ninetales,Alolan Ninetales,7,1.1,19.9,Ice,Fairy,Snow Cloak,,Snow Warning,Blue,25,75,0,20,Ground,,75,177,1000000,Ordinary,,Alolan,73,67,75,81,100,109,505,0,0,0,0,0,2
39,39_0,Jigglypuff,Jigglypuff,1,0.5,5.5,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Pink,25,75,0,10,Fairy,,170,95,800000,Ordinary,,,115,45,20,45,25,20,270,2,0,0,0,0,0
40,40_0,Wigglytuff,Wigglytuff,1,1,12,Normal,Fairy,Cute Charm,Competitive,Frisk,Pink,25,75,0,10,Fairy,,50,218,800000,Ordinary,,,140,70,45,85,50,45,435,3,0,0,0,0,0
41,41_0,Zubat,Zubat,1,0.8,7.5,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,255,49,1000000,Ordinary,,,40,45,35,30,40,55,245,0,0,0,0,0,1
42,42_0,Golbat,Golbat,1,1.6,55,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,90,159,1000000,Ordinary,,,75,80,70,65,75,90,455,0,0,0,0,0,2
43,43_0,Oddish,Oddish,1,0.5,5.4,Grass,Poison,Chlorophyll,,Run Away,Blue,50,50,0,20,Grass,,255,64,1059860,Ordinary,,,45,50,55,75,65,30,320,0,0,0,1,0,0
44,44_0,Gloom,Gloom,1,0.8,8.6,Grass,Poison,Chlorophyll,,Stench,Blue,50,50,0,20,Grass,,120,138,1059860,Ordinary,,,60,65,70,85,75,40,395,0,0,0,2,0,0
45,45_0,Vileplume,Vileplume,1,1.2,18.6,Grass,Poison,Chlorophyll,,Effect Spore,Red,50,50,0,20,Grass,,45,245,1059860,Ordinary,,,75,80,85,110,90,50,490,0,0,0,3,0,0
46,46_0,Paras,Paras,1,0.3,5.4,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,190,57,1000000,Ordinary,,,35,70,55,45,55,25,285,0,1,0,0,0,0
47,47_0,Parasect,Parasect,1,1,29.5,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,75,142,1000000,Ordinary,,,60,95,80,60,80,30,405,0,2,1,0,0,0
48,48_0,Venonat,Venonat,1,1,30,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Purple,50,50,0,20,Bug,,190,61,1000000,Ordinary,,,60,55,50,40,55,45,305,0,0,0,0,1,0
49,49_0,Venomoth,Venomoth,1,1.5,12.5,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Purple,50,50,0,20,Bug,,75,158,1000000,Ordinary,,,70,65,60,90,75,90,450,0,0,0,1,0,1
50,50_0,Diglett,Diglett,1,0.2,0.8,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,255,53,1000000,Ordinary,,,10,55,25,35,45,95,265,0,0,0,0,0,1
50,50_1,Diglett,Alolan Diglett,7,0.2,1,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,50,50,0,20,Ground,,255,53,1000000,Ordinary,,Alolan,10,55,30,35,45,90,265,0,0,0,0,0,1
51,51_0,Dugtrio,Dugtrio,1,0.7,33.3,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,50,149,1000000,Ordinary,,,35,100,50,50,70,120,425,0,0,0,0,0,2
51,51_1,Dugtrio,Alolan Dugtrio,7,0.7,66.6,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,50,50,0,20,Ground,,50,149,1000000,Ordinary,,Alolan,35,100,60,50,70,110,425,0,2,0,0,0,0
52,52_0,Meowth,Meowth,1,0.4,4.2,Normal,,Pickup,Technician,Unnerve,Yellow,50,50,0,20,Ground,,255,58,1000000,Ordinary,,,40,45,35,40,40,90,290,0,0,0,0,0,1
52,52_1,Meowth,Alolan Meowth,7,0.4,4.2,Dark,,Pickup,Technician,Rattled,Blue,50,50,0,20,Ground,,255,58,1000000,Ordinary,,Alolan,40,35,35,50,40,90,290,0,0,0,0,0,1
52,52_2,Meowth,Galarian Meowth,8,0.4,7.5,Steel,,Pickup,Tough Claws,Unnerve,Brown,50,50,0,20,Ground,,255,58,1000000,Ordinary,,Galarian,50,65,55,40,40,40,290,0,1,0,0,0,0
53,53_0,Persian,Persian,1,1,32,Normal,,Limber,Technician,Unnerve,Yellow,50,50,0,20,Ground,,90,154,1000000,Ordinary,,,65,70,60,65,65,115,440,0,0,0,0,0,2
53,53_1,Persian,Alolan Persian,7,1.1,33,Dark,,Fur Coat,Technician,Rattled,Blue,50,50,0,20,Ground,,90,154,1000000,Ordinary,,Alolan,65,60,60,75,65,115,440,0,0,0,0,0,2
54,54_0,Psyduck,Psyduck,1,0.8,19.6,Water,,Damp,Cloud Nine,Swift Swim,Yellow,50,50,0,20,Water1,Ground,190,64,1000000,Ordinary,,,50,52,48,65,50,55,320,0,0,0,1,0,0
55,55_0,Golduck,Golduck,1,1.7,76.6,Water,,Damp,Cloud Nine,Swift Swim,Blue,50,50,0,20,Water1,Ground,75,175,1000000,Ordinary,,,80,82,78,95,80,85,500,0,0,0,2,0,0
56,56_0,Mankey,Mankey,1,0.5,28,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,190,61,1000000,Ordinary,,,40,80,35,35,45,70,305,0,1,0,0,0,0
57,57_0,Primeape,Primeape,1,1,32,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,75,159,1000000,Ordinary,,,65,105,60,60,70,95,455,0,2,0,0,0,0
58,58_0,Growlithe,Growlithe,1,0.7,19,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,190,70,1250000,Ordinary,,,55,70,45,70,50,60,350,0,1,0,0,0,0
58,58_1,Growlithe,Hisuian Growlithe,8,0.8,22.7,Fire,Rock,Intimidate,Flash Fire,Rock Head,Brown,75,25,0,20,Ground,,190,70,1250000,Ordinary,,Hisuian,60,75,45,65,50,55,350,0,1,0,0,0,0
59,59_0,Arcanine,Arcanine,1,1.9,155,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,75,194,1250000,Ordinary,,,90,110,80,100,80,95,555,0,2,0,0,0,0
59,59_1,Arcanine,Hisuian Arcanine,8,2,168,Fire,Rock,Intimidate,Flash Fire,Rock Head,Brown,75,25,0,20,Ground,,75,194,1250000,Ordinary,,Hisuian,95,115,80,95,80,90,555,0,2,0,0,0,0
60,60_0,Poliwag,Poliwag,1,0.6,12.4,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,255,60,1059860,Ordinary,,,40,50,40,40,40,90,300,0,0,0,0,0,1
